name,url,image_url,scientific_name,conservation_status,size,diet,range,habitat,physical_characteristics,fun_fact
Beluga Whale,https://www.georgiaaquarium.org/animal/beluga-whale/,https://www.georgiaaquarium.org/wp-content/uploads/2018/08/beluga-whale-4-250x250.jpg,Delphinapterus leucas,Near Threatened,11-15 feet (3.4-4.6 m),"Fish, mollusks, crustaceans and even zooplankton",Found throughout the Arctic,Varies from deep offshore waters to shallow bays and estuaries,"Unfused cervical vertebrae allows for neck flexibility. This adaptation allows for maneuverability in shallow water to hunt and to escape from predators. Very thick layer of blubber, thick skin, relatively small tail flukes and pectoral flippers, and absence of a dorsal fin are adaptations for life in cold water. The melon is the rounded structure on the top of the beluga’s head, just in front of the blowhole. It is composed of lipids (fats) and can change shape when the whale is producing sounds. The melon focuses and projects echolocation signals through the water. It is unique to toothed whales and not found on baleen whales. Lips can be pursed to form the shape of an “O.” Tongue forms a tight seal around fish which allows the beluga to swallow prey without ingesting water. Rather than a dorsal fin, which would be prone to injury from ice and heat loss, a beluga has a dorsal ridge. Generally pale gray to pure white as adults, belugas are a light gray color at birth. Their light coloration is believed to camouflage the animal in snowy, icy surroundings. Areas such as the dorsal ridge, the edges of the pectoral flippers and the edges of the tail flukes may be darker on adult belugas. Average weight and length of an adult ranges between 1100-2500 lbs (499-1143 kg) and 11-15 feet (3.4-4.6 m). Average calf birth weight is 119-145 lbs (54-66 kg) and length is 4.5-5.1 feet (137-155 cm). The maximum adult weight reported is 3600 lbs (1633 kg). Belugas show sexual dimorphism, with males being approximately 25% larger than females. The beluga whale has 30-40 homodont (of similar size and shape), conical teeth. Teeth are not replaced if lost. A calf’s teeth begin to come in between 1 and 2 years of age. The teeth of Odontocetes contain growth rings, called “Growth Layer Groups” (GLG).",Belugas are sometimes called “sea canaries” due to the extensive variety of sounds they can make!
Big-Bellied Seahorse,https://www.georgiaaquarium.org/animal/big-bellied-seahorse/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/big-bellied-seahorse-3-250x250.jpg,Hippocampus abdominalis,Least Concern,7 inches (18 cm),Small crustaceans,Southwest Pacific,Rocky reefs in shallow waters,"Males display a prominent round belly, females are usually more slender. Male is distinctive because of its large brood pouch. Coloration ranges from black to yellow or tan. Individuals may display dark markings on its body. Largest seahorse species in the waters around Australia, reaching a common length of 7 inches (18 cm).",The male big-bellied seahorse is distinctive because of its large brood pouch.
Bigmouth Buffalo,https://www.georgiaaquarium.org/animal/bigmouth-buffalo/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/bigmouth-buffalo-2-250x238.jpg,Ictiobus cyprinellus,Least Concern,4 feet (1.3 m),"Small fish, plants, small invertebrates",North America,"Rivers, lakes and channels","Coloration is bluish-green on the back, shading to coppery-blue sides and a light, bluish-grey belly. Deeply rounded body with a large head and a sucker-type mouth with large lips. Mouth oriented forward rather than downward, distinguishing this species from other buffalo fish. Maximum length of approximately 4 feet (1.3 m) and a maximum weight of 70 lbs. (32 kg). Its name refers to the size of its mouth in relationship to other species of buffalo.",
Bignose Unicornfish,https://www.georgiaaquarium.org/animal/bignose-unicornfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/bignose-unicornfish-3-250x250.jpg,Naso vlamingii,Least Concern,Up to 21.5 inches (55 cm),Zooplankton,Indo-Pacific,Deep lagoon and seaward reefs,"Adults have a long, curved snout with tall anal and dorsal fins. Has vertical blue lines running along the side of the body. Maximum length of 21.5 inches (55 cm).",Unicornfish are named for the bony horn on their face.
Black Crappie,https://www.georgiaaquarium.org/animal/black-crappie/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/black-crappie-3-250x250.jpg,Pomoxis nigromaculatus,Least Concern,8 to 12 inches (20-30 cm),Small fishes and larger invertebrates,North America,"Lakes, rivers, ponds","A deep body that is strongly compressed laterally. Dark green to black mottling throughout its body with a greenish back and silvery-green sides. Median fins are yellowish green with dusky, wavy lines and white spots. Common length of 8-12 inches (20-30 cm); maximum length of 19 inches (48 cm). Maximum weight of 6 lbs (2.7 kg).",The black crappie's maximum reported age is 15 years.
Black Drum,https://www.georgiaaquarium.org/animal/black-drum/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/black-drum-3-250x250.jpg,Pogonias cromis,Least Concern,20 inches (51 cm),Mollusks and crustaceans,Western Atlantic,"Coastal waters, along sandy bottoms and in brackish water near rivers","Common length of 20 inches (51 cm), with a maximum length of 67 inches (170 cm). Maximum published weight is 113 lbs. (51 kg). Oblong body with a short snout, barbels on the chin, a spiny dorsal fin and a soft dorsal fin. Silver, grey or dark brown in color. Anal and pelvic fins are usually darker in color. Juveniles may have 4-5 vertical black bars on the sides which disappear with age.","The genus name of the black drum - Pogonias - comes from the greek word for beard, a reference to the barbels along the lower jaw of this fish, used when foraging for food along the bottom."
Black Rockfish,https://www.georgiaaquarium.org/animal/black-rockfish-2/,https://www.georgiaaquarium.org/wp-content/uploads/2018/10/black-rockfish-3-250x250.jpg,Sebastes melanops,Not Evaluated,25 inches (63.5 cm),"Smaller fish, benthic crustaceans and mollusks",Eastern Pacific,Near rocky reefs in shallow water,Black rockfish can reach a length of about 25 inches (63.5 cm) and weigh about 11 lbs. (5 kg). It is reported to live up to 50 years. This species is dark grey to black with light grey mottling and lighter coloring ventrally.,The dorsal and anal spines of the black rockfish are mildly venomous.
Black Spot Piranha,https://www.georgiaaquarium.org/animal/black-spot-piranha/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/black-spot-piranha-3-250x250.jpg,Pygocentrus cariba,Not Evaluated,11 inches (28 cm),"Fish, birds, benthic crustaceans, insects, aquatic vegetation",South America,Tropical freshwater areas,"The upper body of the black spot piranha is silvery grey, while the lower body is red to red-orange, but varies among individuals. There is a black spot behind the operculum. Pectoral and anal fins are orange to red and the dorsal fin is black. Juveniles have black spots on the upper body. This piranha can reach 11 inches (28 cm) in length and about 1.2 lbs. (0.6 kg), with a maximum weight of 5 lbs. (2.3 kg). Females are generally larger than males.",Piranha can replace their razor-sharp teeth when needed.
Blackbar Soldierfish,https://www.georgiaaquarium.org/animal/blackbar-soldierfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/blackbar-soldierfish-3-250x250.jpg,Myripristis jacobus,Least Concern,8 inches (20 cm),"Plankton, small shrimp and other crustaceans",Western Atlantic,Shallow water crevices and holes in coral and rock reefs,"Maximum length of 10 inches (25 cm) in length, but usually does not exceed about 8 inches (20 cm). The blackbar soldierfish is recognizable by its often bright red coloration on the back and sides of its body, and a broad, black bar running from slightly behind the eye to the top edge of the pectoral fin on either side. Its fins are red with white markings. Its eyes are large which aids in finding prey at night.",Blackbar soldierfish are often seen swimming upside down near rocky and coral reefs throughout its range.
Manta Ray,https://www.georgiaaquarium.org/animal/giant-oceanic-manta-ray/,https://www.georgiaaquarium.org/wp-content/uploads/2018/08/manta-ray-3-575x575.jpg,Mobula sp. cf. birostris,Endangered,20 feet (6 m),Plankton and small fish,"Western Atlantic, Gulf of Mexico","Reefs, atolls, island groups and the continental shelf","Has a broad head with an enormous wide mouth flanked by two broad, flexible, fleshy lobes (cephalic fins). These lobes are usually kept rolled and pointed forward except when the manta is feeding; at this time the cephalic lobes will be open and extended. Sometimes called the “devil ray” because when rolled and projected forward, the cephalic lobes have the appearance of horns. Reaches weights of up to 3,080 lbs. (1400 kg) can be up to 20 feet (6 m) across. This species of manta may show great variation in pattern, but generally can be described as such:Dorsal surface is dark in color with lighter shoulder patches. The underside is mostly white, dotted with black or charcoal blotches.The patterns on the shoulders and underside exhibit many arrangements and can help identify individual animals. Dorsal surface is dark in color with lighter shoulder patches. The underside is mostly white, dotted with black or charcoal blotches.The patterns on the shoulders and underside exhibit many arrangements and can help identify individual animals. Tail is whip-like and has a thick round mass at the base, just behind the dorsal fin. This is an identifying feature of this species.",Manta rays have been spotted jumping out of the water.
Whale Shark,https://www.georgiaaquarium.org/animal/whale-shark/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/whale-shark-8-575x575.jpg,Rhincodon typus,Endangered,18-32 feet (5.5-9.8 m),Zooplankton,"Tropical Atlantic, Pacific, and Indian Oceans",Typically found offshore,"The whale shark is the largest fish in the world and the largest fish known to have lived on this planet. Because of its size and cartilaginous skeleton, it does not fossilize well and in life it is very difficult to weigh accurately. The largest accurately measured whale shark was 61.7 feet (18.8 m). The average length is between 18 and 32 feet (5.5-9.8 m). Newborns measure 21 to 25 inches (53-64 cm) long. Whale sharks have a broad, flat head, relatively small eyes, five large gill slits, two dorsal fins, two long pectoral fins, two pelvic fins, one anal fin and a large sweeping tail. It has a vestigial spiracle behind the eye, which is an evolutionary remnant of its common ancestry with bottom-dwelling (benthic) carpet sharks. Unlike most shark species, its mouth is located at the front of the head (terminal) instead of the underside of the rostrum (subterminal). The whale shark has a huge mouth, which can reach up to 4 feet (1.2 m) across, located at the front of the head. Inside the mouth are specialized flaps called velums. These stop the backflow of water as the whale shark closes its mouth, preventing the loss of food. The skin of an adult whale shark can be as thick as 4 inches (10 cm) and has the consistency of strong rubber, which limits possible predators to killer whales, great white sharks, tiger sharks and humans. Whale sharks have a two-toned pattern of light spots on their dark gray back with a white underside. Each whale shark has its own individual spot pattern; like human fingerprints, no two are exactly alike. The teeth of the whale shark are tiny and pointed backward; they are thought to have no function in feeding. There are about 300 rows of tiny teeth along the inner surface of each jaw, just inside the mouth.",The whale shark is the biggest fish in the sea.
Blacksmith,https://www.georgiaaquarium.org/animal/blacksmith-2/,https://www.georgiaaquarium.org/wp-content/uploads/2018/10/blacksmith-3-250x250.jpg,Chromis punctipinnis,Least Concern,10 inches (25 cm),Zooplankton,Eastern Pacific Ocean,"Near shore waters, around reefs and kelp beds","The blacksmith’s body is gray-blue on the sides with black spots toward the rear. A male guarding its nest is very light-colored, almost white, with a dark bar through each eye. Juveniles are blue-gray in the front of the body and brassy orange at the rear. Can reach up to 10 inches (25 cm) in length.","During the day, large schools with hundreds of individual blacksmith fish can be found over most reefs."
Blacktip Reef Shark,https://www.georgiaaquarium.org/animal/blacktip-reef-shark/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/blacktip-reef-shark-3-250x250.jpg,Carcharhinus melanopterus,Vulnerable,7 feet (2m),"Fish, crustaceans and mollusks",Indo-Pacific,"Coral reefs, intertidal zone and near reef drop-offs","The blacktip reef shark reaches a maximum size of 7 feet (2m). A smaller shark with a rounded snout and distinct black-tipped fins. The blacktip reef shark exhibits counter-shading, being gray to gray-brown on the upper body and white ventrally. Also displays a conspicuous white band on its flanks, which extends back to the pelvic fins.",The blacktip reef shark has been known to jump completely out of the water!
Blue Chromis,https://www.georgiaaquarium.org/animal/blue-chromis/,https://www.georgiaaquarium.org/wp-content/uploads/2019/10/blue-chromis-2-250x250.jpg,Chromis cyanea,Least Concern,3 inches (7.6 cm),Small crustaceans and zooplankton,Western Atlantic,Tropical waters above deep outer reefs,"Common length is about 3 inches (7.6 cm) but can reach a maximum length of approximately 6 inches (15 cm). Predominantly blue, with a dark black stripe running from the mouth to the dorsal fin all the way tothe caudal, or tail, fin. Virtually translucent pectoral fins.Large dark eyes.",Individual chromis feed on prey gathered in large groups.
Blue Tang Surgeonfish,https://www.georgiaaquarium.org/animal/blue-tang-surgeonfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/blue-tang-surgeonfish-3-250x250.jpg,Acanthurus coeruleus,Least Concern,12 inches (30.5 cm),Algae,Atlantic ocean,Tropical shallow waters,"Maximum length is 12 inches (30.5 cm). Tall-bodied, laterally compressed fish with a pointed snout, small scales and continuous dorsal fin. The eyes are located high on the head. The mouth is small and low on the head. Close-set teeth adapted for grazing algae from the reef. As an adult, this tang is deep blue in color with a white or yellow spine on the caudal peduncle (base of the tail fin), a characteristic shared with other surgeon fish. Uses the spine to fend off predators, defend territory and display social dominance. Juveniles are mostly bright yellow, sometimes displaying a blue coloring on the edges of the fins, and blue crescents above and below the pupils of the eyes. In the intermediate phase, the color darkens to a bright blue or purplish-gray with a yellow caudal fin.",The juvenile surgeonfish will set up a cleaning station with sea turtles where they consume dead skin and parasites from their bodies.
Blue-spotted Spinefoot,https://www.georgiaaquarium.org/animal/blue-spotted-spinefoot/,https://www.georgiaaquarium.org/wp-content/uploads/2019/08/blue-spotted-spinefoot-3-250x250.jpg,Siganus corallinus,Least Concern,8-14 inches (20-35 cm),Benthic algae and seaweed,Indo-West Pacific,Coral reefs and lagoons,Common length of 8-14 inches (20-35 cm). Yellow-colored body throughout with small blue spots.,"This species is also referred to as a ""rabbitfish"" because of how its mouth and teeth look similar to a rabbit's."
Blue-Spotted Stingray,https://www.georgiaaquarium.org/animal/blue-spotted-stingray/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/blue-spotted-stingray-3-250x250.jpg,Taeniura lymma,Least Concern,14 inches (35 cm),"Mollusks, worms, shrimps, and crabs",Indo-Pacific,Sandy bottoms and near coral reefs,"The body is flattened and round-shaped, with a tail as long as its body. Venomous spine on tail. Coloration is brown to yellow-brown with bright blue spots on the dorsal surface. The ventral surface is off-white. Maximum length of 2 ft (0.6 m).","Unlike many ray species, the blue-spotted stingray does not usually bury itself in the sand."
Bluegill,https://www.georgiaaquarium.org/animal/bluegill/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/bluegill-5-250x250.jpg,Lepomis macrochirus,Least Concern,9.5 inches (24 cm),"Snails, small fish and invertebrates",North America,"Lakes, ponds, reservoirs, sluggish streams","Adult bluegills weigh about 12 oz. (0.3 kg) and reach about 9.5 inches (24 cm) in length. This species may be distinguished from most other sunfish by the dark spot on the posterior end of the dorsal fin, dark vertical bars on its sides that fade into the belly and a relatively small mouth. Distinguishing fin spot is faint on a young fish and the dark side bars are thinner. Its back and upper sides are usually dark olive green blending to lavender, brown, copper, or orange or, in some individuals, an overall blue body sheen with yellow and green flecks on the sides. The bluegill has a white to yellow color on the belly. The body is extremely laterally compressed and sometimes displays two blue streaks from its chin to the edge of its gill cover. Long, pointed pectoral (side) fins. A breeding male’s color pattern has a blue head and back, a bright red-orange breast and belly, with black pelvic fins.","A breeding bluegill male’s color pattern has a blue head and back, a bright red-orange breast and belly, with black pelvic fins."
Bluehead Wrasse,https://www.georgiaaquarium.org/animal/bluehead-wrasse/,https://www.georgiaaquarium.org/wp-content/uploads/2019/10/bluehead-wrasse-2-250x250.jpg,Thalassoma bifasciatum,Least Concern,Up to 9.8 inches (25 cm),Zooplankton,Western Atlantic,"Coral reefs, rocky flats, sandy bottoms","Maximum length of 9.8 inches (25 cm). The body is elongated and slightly laterally compressed. Coloration is highly varied and is dependent on the life phase.Juveniles have a black mid-lateral horizontal stripe. Coloration below the stripe is white in both inshore and offshore populations. Body coloration above the stripe is yellow in coral reef populations and white in non-reef-associated species.The horizontal stripe on females and small males are broken into irregular blotches. Body coloration can change between two variations; a yellow head and upper body with a white underside, two square-like spots behind the eye and no mid-lateral stripe, or a yellowish to greenish-blue upper body, a white underside and white bars that break up the mid-lateral line into blotches.Supermale body coloration is green to blue-green. Two black bars surround a white stripe that separates a blue scaleless head from the rest of the body coloration. The caudal fin has black lobes and the pectoral fins are edged in black. Juveniles have a black mid-lateral horizontal stripe. Coloration below the stripe is white in both inshore and offshore populations. Body coloration above the stripe is yellow in coral reef populations and white in non-reef-associated species. The horizontal stripe on females and small males are broken into irregular blotches. Body coloration can change between two variations; a yellow head and upper body with a white underside, two square-like spots behind the eye and no mid-lateral stripe, or a yellowish to greenish-blue upper body, a white underside and white bars that break up the mid-lateral line into blotches. Supermale body coloration is green to blue-green. Two black bars surround a white stripe that separates a blue scaleless head from the rest of the body coloration. The caudal fin has black lobes and the pectoral fins are edged in black.","Juvenile bluehead wrasse will seek shelter among the tentacles of sea anemones, deliberately avoiding direct contact."
Bluespine Unicornfish,https://www.georgiaaquarium.org/animal/bluespine-unicornfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/bluespine-unicornfish-5-250x250.jpg,Naso unicornis,Least Concern,Up to 27.6 inches (70 cm),Coarse and leafy brown algae,Indo-Pacific,"Channels, moats, lagoons and seaward reefs","The body is usually greenish-gray in color with a bony horn or rostrum protruding from the front of its head in between the eyes. Dorsal and anal fins are yellowish with thin blue lines. Two blue plates with sharp, forward-pointing spines on either side of the caudal peduncle. Thick leathery skin with tiny non-overlapping scales and small teeth with finely serrated edges. Lobes of the caudal fin are extended into slender thread-like filaments; more apparent in the male. Can reach approximately 27.6 inches (70 cm) in length.","This unicornfish develops long, trailing tail filaments as it grows."
Bluestreak Cleaner Wrasse,https://www.georgiaaquarium.org/animal/bluestreak-cleaner-wrasse/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/bluestreak-cleaner-wrasse-2-250x250.jpg,Labroides dimidiatus,Least Concern,Up to 5.5 inches (14 cm),Mucus and parasites from other fish,Indo-Pacific,"Coral rich areas, subtidal reef flats and seward reefs",Maximum length 5.5 inches (14 cm). Larger adults have a ventroanterior hook in the caudal fin. Juveniles are predominantly black with a single blue stripe running from their snout to the upper caudal fin. Adults are blue with a single thick black stripe from the caudal fin through their eyes.,Bluestreak cleaner wrasse are also known as “blue diesel wrasse” or “bridled beauty.”
Bluestriped Grunt,https://www.georgiaaquarium.org/animal/bluestriped-grunt/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/bluestriped-grunt-3-250x250.jpg,Haemulon sciurus,Least Concern,Up to 18 inches (46 cm),"Crustaceans, bivalves and small fishes",Western Atlantic,Coral and rocky reefs and drop-offs,"Reaches a maximum length of about 18 inches (46 cm). The maximum published weight is 1.7 lbs. (0.8 kg). Has a yellow head and body with narrow horizontal blue stripes along the head and length of its body. It has a blue stripe under the eye that has a distinctive arch. Its dorsal fin is spiny and yellow. The caudal, or tail, fin is black, which easily distinguishes it from the similar-appearing French grunt, whose tail is yellow.",The bluestriped grunt frequently steals the eggs of damselfish.
